Date,Open,High,Low,Close,Adj Close,Volume
2006-06-01,18.530001,18.855000,18.180000,18.809999,15.758415,1321400
2006-07-01,18.809999,18.809999,17.290001,17.809999,14.920653,8889600
2006-08-01,17.584999,18.830000,17.360001,18.170000,15.222244,20217400
2006-09-01,18.209999,19.995001,18.049999,19.645000,16.457954,17914400
2006-10-01,19.645000,20.950001,19.584999,20.695000,17.344364,12496800
2006-11-01,20.674999,21.070000,19.735001,20.389999,17.088736,12019200
2006-12-01,20.525000,21.020000,20.049999,20.305000,17.017511,15838200
2007-01-01,20.635000,21.379999,20.299999,20.980000,17.611032,26033400
2007-02-01,21.150000,22.090000,20.645000,21.000000,17.627819,18019600
2007-03-01,20.344999,21.719999,20.080000,21.530001,18.072720,27854200
2007-04-01,21.615000,22.245001,21.545000,21.545000,18.093578,19790800
2007-05-01,21.420000,22.540001,20.985001,22.389999,18.803205,54131000
2007-06-01,22.545000,22.754999,21.389999,21.650000,18.181751,51143400
2007-07-01,21.855000,22.235001,19.655001,19.775000,16.618084,61067600
2007-08-01,19.934999,20.290001,18.195000,19.709999,16.563444,85689000
2007-09-01,19.815001,21.690001,18.510000,19.459999,16.353363,69582200
2007-10-01,19.535000,20.825001,18.500000,19.254999,16.192453,88200000
2007-11-01,18.809999,19.000000,16.820000,17.695000,14.880571,188057000
2007-12-01,17.790001,18.309999,16.730000,16.780001,14.111102,110607200
2008-01-01,16.945000,17.445000,14.290000,17.000000,14.326798,270792800
2008-02-01,17.160000,17.440001,15.885000,15.890000,13.391345,201994600
2008-03-01,15.880000,17.100000,14.630000,15.855000,13.361849,176649600
2008-04-01,16.065001,17.040001,15.395000,16.500000,13.930044,167878200
2008-05-01,16.575001,17.305000,15.800000,16.565001,13.984922,204099000
2008-06-01,16.504999,16.840000,14.530000,14.620000,12.342864,294337400
2008-07-01,14.500000,15.960000,13.160000,15.195000,12.892162,352240000
2008-08-01,15.205000,16.820000,14.625000,16.105000,13.664248,293051400
2008-09-01,16.360001,17.360001,14.770000,15.375000,13.044886,484119800
2008-10-01,15.315000,15.315000,9.405000,11.555000,9.823466,371207400
2008-11-01,11.460000,11.675000,7.405000,9.215000,7.834122,199036800
2008-12-01,8.995000,10.305000,8.235000,10.185000,8.658761,263745800
2009-01-01,10.190000,10.965000,9.560000,9.835000,8.466201,260565400
2009-02-01,9.700000,10.655000,9.585000,9.905000,8.526457,311245400
2009-03-01,9.735000,11.970000,8.925000,11.455000,9.860733,370118600
2009-04-01,11.340000,14.055000,11.205000,13.850000,11.939299,502628800
2009-05-01,13.825000,14.590000,12.605000,13.745000,11.848783,763144400
2009-06-01,14.020000,14.810000,13.065000,13.855000,11.943605,786861400
2009-07-01,13.895000,15.575000,12.950000,15.250000,13.185704,793318000
2009-08-01,15.420000,16.410000,15.050000,16.025000,13.855792,663335400
2009-09-01,15.975000,17.370001,15.565000,17.065001,14.755017,565425200
2009-10-01,16.965000,18.514999,16.395000,16.879999,14.623916,654626600
2009-11-01,17.000000,18.139999,16.655001,17.280001,14.970457,560776200
2009-12-01,17.395000,18.295000,17.075001,17.799999,15.420956,451425600
2010-01-01,17.924999,18.410000,17.270000,17.309999,15.124878,463978800
2010-02-01,17.410000,18.715000,17.055000,18.650000,16.295723,429063400
2010-03-01,18.754999,20.990000,18.610001,20.650000,18.043257,573859800
2010-04-01,20.745001,22.820000,20.695000,21.379999,18.701712,627030000
2010-05-01,21.465000,21.930000,19.115000,20.320000,17.774502,967744600
2010-06-01,19.959999,20.545000,17.764999,17.825001,15.592048,787142800
2010-07-01,17.750000,20.195000,17.459999,19.059999,16.731104,559851400
