result,index,category,related_query,top_or_rising
walmart shopping online,100,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
walmart online,99,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
walmart shopping,97,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
amazon online shopping,54,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
amazon shopping,53,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
amazon shopping online shopping,51,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
online grocery shopping,50,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
costco online shopping,49,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
costco,49,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
costco online,47,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
target online,35,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
target shopping online,35,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
target shopping,33,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
best online shopping,32,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
ebay online shopping,27,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
online clothes shopping,21,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
shopping online sites,18,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
lowes shopping online,16,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
online shopping websites,16,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
clothing online shopping,14,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
cheap online shopping,14,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
walmart online grocery,14,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
online food shopping,14,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
walmart grocery shopping online,13,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
walmart grocery,13,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",TOP
online shopping cart abandonment,Breakout,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
fingerhut catalog 2020 online shopping,Breakout,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
www.samsclub.com online shopping,3800%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
walmart online shopping sign in,1400%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
wards.com online shopping,1350%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
amazonsmile online shopping,900%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
coach outlet store online shopping,850%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
joann fabrics online shopping,500%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
www.costco.com online shopping,400%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
dollar tree.com online shopping,350%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
home depot online shopping cart,350%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
home depot.com online shopping,350%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
cvs online shopping,350%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
www.walmart.com online shopping usa,300%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
jewel online shopping,250%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
lowes shopping online,250%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
hsn.com online shopping,250%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
acme online shopping,250%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
hyvee online shopping,200%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
burlington coat factory online shopping,200%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
www.target.com online shopping,190%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
burlington online,180%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
walmart online order,180%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
handbags on sale online shopping,180%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
bjs online shopping,180%,Category: All categories,"online shopping: (12/1/19 - 12/1/20, United States)",RISING
